,questions,answers,correct_answers
0,Who is the mother of the director of film Polish-Russian War (Film)?,Not mentioned in the context.,Małgorzata Braunek
1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask of Fu Manchu.,The Mask Of Fu Manchu
2,"When did John V, Prince Of Anhalt-Zerbst's father die?",7 January 1368.,12 June 1516
3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,No specific award mentioned.,Myanmar Motion Picture Academy Awards
4,Where was the director of film Ronnie Rocket born?,The context does not provide information about where the director of film Ronnie Rocket was born.,"Missoula, Montana"
5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Henry de La Trémoille.,Charles Armand René de La Trémoille
6,Where was the father of Ștefan I. Nenițescu born?,The context does not provide information about the birthplace of Ștefan I. Nenițescu's father.,Galați
7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,Yes.,no
8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",Love In Pawn.,El Extraño Viaje
9,Who is the maternal grandfather of Antiochus X Eusebes?,Antiochus IX.,Ptolemy IX Lathyros
10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",Crimen A Las Tres.,The Working Class Goes To Heaven
11,"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman.,Once A Gentleman
12,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",Il Seduttore.,The Trial Of Joan Of Arc
13,Where was the director of film Thomas Jefferson (Film) born?,"The context does not provide information about the birthplace of the director of the film ""Thomas Jefferson.""",Brooklyn
14,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,She died after suffering a stroke.,stroke
15,Where was the place of death of the director of film Beat Girl?,Nice.,Nice
16,"Who died first, Fleetwood Sheppard or George William Whitaker?",Fleetwood Sheppard died first.,Fleetwood Sheppard
17,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",The Raven's Dance.,The Raven'S Dance
18,When did Jean Martin (Singer)'s husband die?,The context does not provide information about Jean Martin (Singer)'s husband or his date of death.,1983
19,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",Tangled Destinies.,Tangled Destinies
20,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger.,Moment Of Danger
21,What nationality is the director of film World And Time Enough?,American.,United States
22,"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?",The Machine To Kill Bad People.,The Machine To Kill Bad People
23,"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","Heads I Win, Tails You Lose.","Heads I Win, Tails You Lose"
24,"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?",Rupert III of the Palatinate.,Rupert
25,Who is Marie Zéphyrine Of France's paternal grandmother?,The context does not provide information about Marie Zéphyrine Of France's paternal grandmother.,Marie Leszczyńska
26,"Which film has the director died earlier, Condemned Women or Faces In The Dark?",Condemned Women.,Condemned Women
27,Who is the spouse of the director of film Eden And After?,Catherine Robbe-Grillet.,Catherine Robbe-Grillet
28,Where was the place of death of Anastasia Of Serbia's husband?,Mount Athos.,Hilandar
29,Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?,Yes.,yes
30,"Which film was released more recently, Lo Zappatore or Placer Sangriento?",Placer Sangriento.,Placer Sangriento
31,Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?,Gwenc'Hlan Le Scouëzec was born first.,Gwenc'Hlan Le Scouëzec
32,"Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?",The Majesty Of The Law.,Bhoomiyude Avakashikal
33,Who is Cornelia (Wife Of Caesar)'s child-in-law?,Pompey the Great.,Pompey
34,Why did John Middleton Murry's wife die?,The context does not provide information on the cause of John Middleton Murry's wife's death.,tuberculosis
35,Who is the paternal grandfather of Taj Al-Dawla?,Rukn al-Dawla.,Rukn al-Dawla
36,Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?,No.,yes
37,What is the place of birth of the director of film And The Spring Comes?,"Xi'an, Shaanxi.",Xi'an
38,"Who died first, Madame Pasca or James A. Donohoe?",[Final Answer]: Unable to provide an answer with the given context.,Madame Pasca
39,"Who was born later, D'Arcy Coulson or Thomas William Adams?",D'Arcy Coulson.,D'Arcy Coulson
40,Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?,No.,no
41,Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?,Russia.,German
42,"Which film whose director was born first, 45 Fathers or The Intended?",45 Fathers.,45 Fathers
43,"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?","Louis-Alexandre Berthier, 1st Prince of Wagram.",Louis-Alexandre Berthier
44,Where was the husband of Caterina Visconti born?,Italy.,Pavia
45,"Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?",A Quiet Place in the Country.,A Quiet Place In The Country
46,"Who was born first, John Beach or Gordon Persons?",John Beach.,John Beach
47,"Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?",Charlie Chan In Honolulu.,Charlie Chan In Honolulu
48,Who is the child of the director of film La Leona (Film)?,Víctor Bó.,Víctor Bó
49,Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?,Beatrice of Castile.,Urraca of Castile
50,"Who lived longer, Giuseppe Cesari or Nicos Poulantzas?",Giuseppe Cesari.,Giuseppe Cesari
51,Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?,No.,yes
52,"Who is older, Aryeh Ben-Eliezer or Jason Pociask?","The context does not provide specific birth dates for Aryeh Ben-Eliezer or Jason Pociask, so it is impossible to determine who is older based on the provided information.",Aryeh Ben-Eliezer
53,Where does the director of film Man At Bath work at?,"The context does not specify where the director of the film ""Man At Bath"" works.",Cahiers du cinéma
54,"Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?",Paul Gore.,"Sir Arthur Gore, 2nd Baronet"
55,Are both Kaufland and Otrag located in the same country?,No.,yes
56,"Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?",Aanaval Mothiram.,Heroes Of The Street
57,Where was the father of Lord Patrick Crichton-Stuart born?,Mount Stuart.,London
58,Which country the director of film Daadagiri is from?,India.,Pakistan
59,Where was the wife of Douglas Leiterman born?,The context does not provide information about the birthplace of Douglas Leiterman's wife.,"Winnipeg, Manitoba"
60,What is the place of birth of the performer of song Who...?,Fukuoka.,Fukuoka
61,Where was the place of death of the director of film Mole Men Against The Son Of Hercules?,Not specified in the context.,Roma
62,Where was the father of Alexandre Gaydamak born?,"Moscow, USSR.","Moscow, USSR"
63,"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?",Toen 'T Licht Verdween.,Toen 'T Licht Verdween
64,"Who is Gaston, Duke Of Orléans's paternal grandmother?",Marie de' Medici.,Jeanne d'Albret
65,Where was the director of film The Half-Way Girl born?,"The context does not provide information about the director of the film The Half-Way Girl, so it cannot be determined where they were born.",New York
66,Who is the father-in-law of Sophia Of Wittelsbach?,Hermann I.,Louis II
67,"Where was the place of death of Lambert I, Count Of Louvain's father?",Leuven.,Bohemia
68,Where was the director of film Highway Dragnet born?,Nathan Juran.,Gura Humorului
69,Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?,"Obermais, Meran, County of Tyrol, Austria–Hungary.",Meran
