,questions,answers,correct_answers
0,Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek.,Małgorzata Braunek
1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu.,The Mask Of Fu Manchu
2,"When did John V, Prince Of Anhalt-Zerbst's father die?",1 March 1570.,12 June 1516
3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,"The context does not provide information about the award won by the director of the film ""Wearing Velvet Slippers Under A Golden Umbrella.""",Myanmar Motion Picture Academy Awards
4,Where was the director of film Ronnie Rocket born?,"Jason Moore was born in Fayetteville, Arkansas.","Missoula, Montana"
5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Louis Bretagne de La Trémoille.,Charles Armand René de La Trémoille
6,Where was the father of Ștefan I. Nenițescu born?,,Galați
7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,No.,no
8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",Love In Pawn.,El Extraño Viaje
9,Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy VIII Physcon.,Ptolemy IX Lathyros
10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",Crimen A Las Tres.,The Working Class Goes To Heaven
11,"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman.,Once A Gentleman
12,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",Il Seduttore.,The Trial Of Joan Of Arc
13,Where was the director of film Thomas Jefferson (Film) born?,"The context does not provide information about the birth location of the director of the film ""Thomas Jefferson.""",Brooklyn
14,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,stroke.,stroke
15,Where was the place of death of the director of film Beat Girl?,Nice.,Nice
16,"Who died first, Fleetwood Sheppard or George William Whitaker?",Fleetwood Sheppard.,Fleetwood Sheppard
17,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",The Raven's Dance.,The Raven'S Dance
18,When did Jean Martin (Singer)'s husband die?,The context does not provide information about Jean Martin (Singer)'s husband or his death.,1983
19,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",Tangled Destinies.,Tangled Destinies
20,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment of Danger.,Moment Of Danger
21,What nationality is the director of film World And Time Enough?,American.,United States
22,"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?",The Machine To Kill Bad People.,The Machine To Kill Bad People
23,"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","Heads I Win, Tails You Lose.","Heads I Win, Tails You Lose"
24,"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?",Rupert III of the Palatinate.,Rupert
25,Who is Marie Zéphyrine Of France's paternal grandmother?,Marie Leszczyńska.,Marie Leszczyńska
26,"Which film has the director died earlier, Condemned Women or Faces In The Dark?",Condemned Women.,Condemned Women
27,Who is the spouse of the director of film Eden And After?,Catherine Robbe-Grillet.,Catherine Robbe-Grillet
